timestamp, type, path, sampleType, nativeCode, nativeSeverity, qualifier, alarm_text
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:servo_cond<ACTUATOR>,ACTUATOR,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:Ctravel<ANGLE>,ANGLE,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:Sload_cond<LOAD>,LOAD,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:Stemp_cond<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:S2load_cond<LOAD>,LOAD,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:S2temp_cond<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:comms_cond<COMMUNICATIONS>,COMMUNICATIONS,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:logic_cond<LOGIC_PROGRAM>,LOGIC_PROGRAM,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:system_cond<SYSTEM>,SYSTEM,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:coolant<Coolant>:coolant_level<LEVEL>,LEVEL,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:coolant<Coolant>:coolant_pres<PRESSURE>,PRESSURE,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:coolant<Coolant>:coolant_temp<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:electric<Electric>:electric_temp<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:hydraulic<Hydraulic>:hydra_cond<PRESSURE>,PRESSURE,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:path<Path>:motion_cond<MOTION_PROGRAM>,MOTION_PROGRAM,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>,SYSTEM,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:pneumatic<Pneumatic>:pneu_cond<PRESSURE>,PRESSURE,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:X<Linear>:Xtravel<POSITION>,POSITION,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:Y<Linear>:Ytravel<POSITION>,POSITION,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:Z<Linear>:Ztravel<POSITION>,POSITION,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:servo_cond<ACTUATOR>,ACTUATOR,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:Ctravel<ANGLE>,ANGLE,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:Sload_cond<LOAD>,LOAD,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:Stemp_cond<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:S2load_cond<LOAD>,LOAD,,,,
1306468872.038,Normal,SAMPLE<Device>:base<Axes>:C<Rotary>:S2temp_cond<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:comms_cond<COMMUNICATIONS>,COMMUNICATIONS,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:logic_cond<LOGIC_PROGRAM>,LOGIC_PROGRAM,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:system_cond<SYSTEM>,SYSTEM,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:coolant<Coolant>:coolant_level<LEVEL>,LEVEL,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:coolant<Coolant>:coolant_pres<PRESSURE>,PRESSURE,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:coolant<Coolant>:coolant_temp<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:electric<Electric>:electric_temp<TEMPERATURE>,TEMPERATURE,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:hydraulic<Hydraulic>:hydra_cond<PRESSURE>,PRESSURE,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:path<Path>:motion_cond<MOTION_PROGRAM>,MOTION_PROGRAM,,,,
1306468872.038,Normal,SAMPLE<Device>:controller<Controller>:path<Path>:path_system<SYSTEM>,SYSTEM,,,,
1306468872.038,Normal,SAMPLE<Device>:systems<Systems>:pneumatic<Pneumatic>:pneu_cond<PRESSURE>,PRESSURE,,,,
