timestamp, value
1306515495.064,READY
1306515495.064,READY
1308640400.032,READY
1308652425.064,ACTIVE
1308652528.006,STOPPED
1308652528.04,READY
1308652749.082,ACTIVE
1308652852.045,READY
1308653104.087,ACTIVE
1308653207.046,STOPPED
1308653207.073,READY
1308653250.088,ACTIVE
1308653353.031,STOPPED
1308653353.065,READY
1308653562.071,ACTIVE
1308653665.053,STOPPED
1308653665.079,READY
1308653699.065,ACTIVE
1308653802.031,STOPPED
1308653802.063,READY
1308653824.089,ACTIVE
1308653927.052,STOPPED
1308653927.082,READY
1308654008.048,ACTIVE
1308654110.097,STOPPED
1308654111.023,READY
1308655200.053,ACTIVE
1308655303.007,STOPPED
1308655303.046,READY
1308655553.011,ACTIVE
1308655966.001,ACTIVE
1308656068.075,READY
1308656177.095,ACTIVE
1308656280.084,READY
1308656307.049,ACTIVE
1308656410.013,STOPPED
1308656410.044,READY
1308656872.057,ACTIVE
1308656975.025,STOPPED
1308656975.054,READY
1308657057.046,ACTIVE
1308657159.09,STOPPED
1308657160.019,READY
1308657247.067,ACTIVE
1308657350.048,READY
1308657377.096,ACTIVE
1308657480.05,STOPPED
1308657480.083,READY
1308658052.002,ACTIVE
1308658276.013,ACTIVE
1308658378.074,STOPPED
1308658379.002,READY
1308658514.072,STOPPED
1308658515.005,READY
1308658549.066,ACTIVE
1308658652.036,READY
1308658797.03,STOPPED
1308658797.06,READY
1308658822.089,ACTIVE
1308658925.048,STOPPED
1308658925.078,READY
1308658989.056,ACTIVE
1308659092.021,STOPPED
1308659092.049,READY
1308659139.082,ACTIVE
1308659242.048,STOPPED
1308659242.076,READY
1308659741.038,STOPPED
1308659741.068,READY
1308659780.057,ACTIVE
1308659883.009,STOPPED
1308659987.064,ACTIVE
1308660090.029,STOPPED
1308660090.054,READY
1308660131.092,ACTIVE
1308660234.048,STOPPED
1308660234.074,READY
1308660355.048,ACTIVE
1308660458.006,STOPPED
1308660458.036,READY
1308660518.01,ACTIVE
1308660907.001,STOPPED
1308660907.035,READY
1308660943.0,ACTIVE
1308661045.055,STOPPED
1308661045.082,READY
1308661114.034,ACTIVE
1308661217.008,STOPPED
1308661217.031,READY
1308661360.064,STOPPED
1308661360.099,READY
1308662077.043,ACTIVE
1308662179.099,STOPPED
1308662180.026,READY
1308662577.061,ACTIVE
1308662680.014,STOPPED
1308662680.044,READY
1308662879.073,ACTIVE
1308662982.012,STOPPED
1308662982.044,READY
1308663034.018,ACTIVE
1308663136.077,STOPPED
1308663137.007,READY
1308663208.071,ACTIVE
1308663311.035,STOPPED
1308663311.064,READY
1308663384.001,ACTIVE
1308663486.08,STOPPED
1308663539.079,ACTIVE
1308663642.055,STOPPED
1308663642.083,READY
1308663695.066,ACTIVE
1308663798.055,STOPPED
1308663798.085,READY
1308663921.023,ACTIVE
1308664023.095,READY
1308664047.001,ACTIVE
1308664174.062,ACTIVE
1308664277.031,READY
1308664309.086,ACTIVE
1308664412.05,STOPPED
1308664412.079,READY
1308664466.092,ACTIVE
1308664569.068,STOPPED
1308664570.0,READY
1308664600.056,ACTIVE
1308664703.024,STOPPED
1308664703.056,READY
1308664752.081,ACTIVE
1308664855.038,STOPPED
1308664855.067,READY
1308666207.07,ACTIVE
1308666310.033,STOPPED
1308666310.063,READY
1308666334.077,ACTIVE
1308666437.058,READY
1308677734.008,ACTIVE
1308677836.051,STOPPED
1308677836.083,READY
1308679914.021,ACTIVE
1308680016.083,STOPPED
1308680017.016,READY
1308680629.061,ACTIVE
1308680732.03,STOPPED
1308680732.06,READY
1308684319.014,ACTIVE
1308684421.07,STOPPED
1308684422.001,READY
1308684842.085,ACTIVE
1308684945.027,STOPPED
1308684945.06,READY
1308685778.031,ACTIVE
1308685880.088,STOPPED
1308685881.017,READY
1308686051.019,ACTIVE
1308686153.096,STOPPED
1308686154.024,READY
1308686265.065,ACTIVE
1308686368.025,STOPPED
1308686368.053,READY
1308686840.063,ACTIVE
1308686943.02,STOPPED
1308686943.074,READY
1308687002.076,ACTIVE
1308687105.029,STOPPED
1308687105.058,READY
1308687190.001,ACTIVE
1308687292.054,STOPPED
1308687292.082,READY
1308687612.007,ACTIVE
1308687714.087,READY
1308687802.086,ACTIVE
1308687905.057,STOPPED
1308687905.084,READY
1308688156.016,ACTIVE
1308688258.086,READY
1308691509.08,ACTIVE
1308691612.054,STOPPED
1308691612.086,READY
1308692344.096,ACTIVE
1308692447.072,READY
1308692581.014,ACTIVE
1308692683.08,STOPPED
1308692684.042,READY
1308692865.048,ACTIVE
1308693122.087,ACTIVE
1308693225.061,READY
1308693283.026,ACTIVE
1308693386.005,STOPPED
1308693386.054,READY
1308693964.096,ACTIVE
