timestamp, value
1306468872.038,AUTOMATIC
1306468872.038,AUTOMATIC
1308632337.06,AUTOMATIC
1308705775.058,MANUAL
1308705950.052,AUTOMATIC
1308727814.048,MANUAL
1308728193.029,MANUAL
1308729101.033,MANUAL
1308729836.009,MANUAL
1308730295.038,AUTOMATIC
1308784698.012,MANUAL
1308788947.044,AUTOMATIC
1308790232.049,MANUAL
1308790340.003,AUTOMATIC
1308790685.096,MANUAL
1308790705.016,AUTOMATIC
1308833119.09,MANUAL
1308833126.092,AUTOMATIC
1308833465.092,MANUAL
1308833607.097,AUTOMATIC
1308845244.05,MANUAL
1308845251.043,AUTOMATIC
1308849537.06,MANUAL
1308849662.067,AUTOMATIC
1308855623.089,MANUAL
1308862341.079,AUTOMATIC
1308862380.083,MANUAL
1308863958.087,AUTOMATIC
1308885571.074,MANUAL
1308886360.017,AUTOMATIC
1308940733.056,MANUAL
1308940749.032,AUTOMATIC
1308967798.073,MANUAL
1308971539.088,AUTOMATIC
1308971541.06,MANUAL
1308973368.088,AUTOMATIC
1308978402.017,MANUAL
1308978763.05,MANUAL
1309001713.034,MANUAL
1309002525.044,MANUAL
1309002898.094,AUTOMATIC
1309008454.081,MANUAL
1309008482.067,AUTOMATIC
1309041720.064,MANUAL
1309050329.028,AUTOMATIC
1309050334.071,MANUAL
1309051373.078,AUTOMATIC
1309051377.084,MANUAL
1309051722.017,AUTOMATIC
1309052786.082,MANUAL
1309052804.012,AUTOMATIC
1309084572.055,MANUAL
1309084794.064,AUTOMATIC
1309102615.03,MANUAL
1309102740.005,AUTOMATIC
1309103799.087,MANUAL
1309103810.014,AUTOMATIC
1309105776.041,MANUAL
1309106009.09,AUTOMATIC
1309107086.027,MANUAL
1309107090.027,AUTOMATIC
1309109928.023,MANUAL
1309109941.074,AUTOMATIC
1309110872.068,MANUAL
1309111085.088,AUTOMATIC
1309124218.02,MANUAL_DATA_INPUT
1309124222.061,MANUAL
1309125144.046,AUTOMATIC
1309144221.082,MANUAL
1309148144.059,AUTOMATIC
1309148417.044,MANUAL
1309148491.005,AUTOMATIC
1309148757.025,MANUAL
1309148785.066,AUTOMATIC
1309148864.031,MANUAL
1309149616.08,AUTOMATIC
1309149695.006,MANUAL
1309149699.011,AUTOMATIC
1309149728.052,MANUAL
1309149753.06,AUTOMATIC
1309149768.035,MANUAL
1309150775.046,AUTOMATIC
1309150923.059,MANUAL
1309150937.086,AUTOMATIC
1309163491.032,AUTOMATIC
1309163700.058,AUTOMATIC
1309163821.094,AUTOMATIC
1309163902.013,AUTOMATIC
1309164683.02,AUTOMATIC
1309165278.041,AUTOMATIC
1309165337.063,AUTOMATIC
1309165434.074,AUTOMATIC
1309165854.036,AUTOMATIC
1309165934.056,AUTOMATIC
1309166060.05,AUTOMATIC
1309166360.059,AUTOMATIC
1309166394.087,AUTOMATIC
1309166457.023,AUTOMATIC
1309167789.03,AUTOMATIC
1309168122.049,AUTOMATIC
1309168312.05,AUTOMATIC
1309168618.076,AUTOMATIC
1309168745.012,AUTOMATIC
1309168799.097,AUTOMATIC
1309168953.019,AUTOMATIC
1309169239.07,AUTOMATIC
1309169356.048,AUTOMATIC
1309169553.075,AUTOMATIC
1309170636.032,AUTOMATIC
1309170780.022,AUTOMATIC
1309171002.039,AUTOMATIC
1309171154.011,AUTOMATIC
1309171343.05,AUTOMATIC
1309171571.024,AUTOMATIC
1309171636.06,AUTOMATIC
1309171718.039,AUTOMATIC
1309171788.029,AUTOMATIC
1309173587.069,AUTOMATIC
1309173916.084,AUTOMATIC
1309174813.051,AUTOMATIC
1309174871.008,AUTOMATIC
1309175264.045,AUTOMATIC
1309175425.002,AUTOMATIC
1309176544.036,AUTOMATIC
1309176966.08,AUTOMATIC
1309177385.09,AUTOMATIC
1309177944.029,AUTOMATIC
1309186365.077,MANUAL
1309188800.016,AUTOMATIC
1309188819.07,MANUAL
1309188822.089,AUTOMATIC
